Prefix,Middle,Suffix
"public class Eratostenes {
    /**
     * prints out all primes smaller than max
     * @param max upper bound for finding primes
     */
    private","= new Eratostenes(max);

    private.setMax(max);
}

public class Eratostenes<long>() {
    int max = 0;
    for (int i = 0; i < max; ++i) {
        if (max < i) {
            max = i;
        }
    }
}

public function minPrime(int max) {
    int prime = 0;
    for (int i = 0; i < max; ++i) {
        if (prime ==","++k) { // we jump by i crossing out all complex numbers
                    isPrime[i * i + i * k] = false;
                }
            }
        }
        for (int i = 0; i < max; ++i) {
            if (isPrime[i]) {
                System.out.print(i);
                System.out.print(' ');
            }
        }
    }
    public static void main(String[] args) {
        int max = Integer.parseInt(args[0]);
        printPrimes(max);
    }
}"
"public class Eratostenes {
    /**
     * prints out all primes smaller than max
     * @param max upper bound for finding primes
     */
    private static void printPrimes(int max) {
   ","for (int i = 0; i < max; ++i) { // we jump by i crossing out all complex numbers
                for (int j = 0; j < max; ++j) { // we jump by j crossing out all complex numbers
                    if (isPrime[j * j + i * k]!= false) {
                        System.out.print(j);
                        System.out.print(' ');
                    }
                }"," k * i < max; ++k) { // we jump by i crossing out all complex numbers
                    isPrime[i * i + i * k] = false;
                }
            }
        }
        for (int i = 0; i < max; ++i) {
            if (isPrime[i]) {
                System.out.print(i);
                System.out.print(' ');
            }
        }
    }
    public static void main(String[] args) {
        int max = Integer.parseInt(args[0]);
        printPrimes(max);
    }
}"
"public class Eratostenes {
    /**
     * prints out all primes smaller than max
     * @param max upper bound for finding primes
     */
    private static void printPrimes(int max) {
        boolean isPrime[] = new boolean[max];
        for (int i = 2; i < max; ++i) {
            isPrime[i] = true; // numbers bigger than 1 have a potential to be prime
        }
        for (int i = 2; i * i < max; ++i) {
           ","return isPrime[i * i + i * k];
        }
        return false;
    }
    /**
    * prints out all prime numbers greater than max
     * @param max upper bound for finding primes
     */","ll complex numbers
                    isPrime[i * i + i * k] = false;
                }
            }
        }
        for (int i = 0; i < max; ++i) {
            if (isPrime[i]) {
                System.out.print(i);
                System.out.print(' ');
            }
        }
    }
    public static void main(String[] args) {
        int max = Integer.parseInt(args[0]);
        printPrimes(max);
    }
}"
"public class Eratostenes {
    /**
     * prints out all primes smaller than max
     * @param max upper bound for finding primes
     */
    private static void printPrim","erations(Integer max);
    /**
     * return the number of primes in primes list
     * @param max upper bound for finding primes
     */
    private static returnPrimes(Integer max);

    /**
     * find all primes that are between max upper bound
     * @param max upper bound for finding primes
     */
    private static findPrimes(Integer max, int n) {
        char *primes[n];
        for (int i = 0; i < max; ++i) {
            if (isPrime[i]) {
                System.out.print(i);
                System.out.print(' ');
            }
        }
        return primes;
    }","r (int i = 0; i < max; ++i) {
            if (isPrime[i]) {
                System.out.print(i);
                System.out.print(' ');
            }
        }
    }
    public static void main(String[] args) {
        int max = Integer.parseInt(args[0]);
        printPrimes(max);
    }
}"
"public class Eratostenes {
    /**
     * prints out all primes smaller than max
     * @param max upper bound for finding primes
     */
    private static void printPrimes(in","f, max) {
       "," for (int i = 0; i < max; ++i) {
            if (isPrime[i]) {
                System.out.print(i);
                System.out.print(' ');
            }
        }
    }
    public static void main(String[] args) {
        int max = Integer.parseInt(args[0]);
        printPrimes(max);
    }
}"
"global smax
global umax
; Parameters in edi, esi registers
smax:
    cmp edi, esi
    cmovl eax, e","al eax, esi ; if edi > esi then return esi, b stands for BELOW
    cmovnb eax, esi ; else esi
    ret ; result in eax
    ret ; result in esi
    ret","b eax, esi ; if edi < esi then return esi, b stands for BELOW
    cmovnb eax, edi ; else edi
    ret ; result in eax"
"global smax
global umax
; Parameters in edi, esi registers
sm","mmax:
","    cmovl eax, esi ; if edi < esi then return esi
    cmovnl eax, edi ; else edi
    ret ; result in eax
umax:
    cmp edi, esi
    cmovb eax, esi ; if edi < esi then return esi, b stands for BELOW
    cmovnb eax, edi ; else edi
    ret ; result in eax"
"global smax
global umax
; Parameters in edi, esi registers
smax:
    cmp edi, esi
    cmovl eax, esi ; if edi < esi then r","eturn 0
    cmovi eax, esi ; return esi
esi:
    cmp esi, edi ; if edi < esi then return esi","  cmovb eax, esi ; if edi < esi then return esi, b stands for BELOW
    cmovnb eax, edi ; else edi
    ret ; result in eax"
"global smax
global umax
; Parameters in edi, esi registers
smax:
    cmp edi, esi
    cmovl eax, esi ; if edi < esi then retu","n esi
    ret; r","eturn esi, b stands for BELOW
    cmovnb eax, edi ; else edi
    ret ; result in eax"
"global smax
global umax
; Parameters ","-> Smax and Umax
smax = 0; Umax = 0;
#
edi = b = 0 ;
b = 1 ;
cmovb = eax;
cmovnb = eax;
ret = 0
#
ret = c","x:
    cmp edi, esi
    cmovb eax, esi ; if edi < esi then return esi, b stands for BELOW
    cmovnb eax, edi ; else edi
    ret ; result in eax"
"global smax
global umax
; Parameters in edi, esi regi","d sujadi.
  smax ; maxima
  esi ; simpi
  osi ; oimpi
; C functions

  regi (ebx, ecx, edx, ebx, ecx, edx, edx) ;
    return regi (ebx, ecx, edx, ebx, ecx, edx, edx) ;

; Code generation

  regi a;
    ret = eax ; osi ; oimpi","    cmovnb eax, edi ; else edi
    ret ; result in eax"
